seed,pin_set,chorus-distortion,chorus-distinctiveness,chorus-recoverability,chorus-variance,chorus-param-spread,chorus-sky-calibration,refusal
0,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
1,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
2,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
3,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
4,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
5,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
6,default,,,,,,,
7,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
8,default,0.42962963,0.27259259,0.76666667,0.008957476,0.23366667,-1,
9,default,,,,,,,
10,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
11,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
12,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
13,default,0.42592593,0.27407407,0.83333333,0.006515775,0.23366667,-1,
14,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
15,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
16,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
17,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
18,default,,,,,,,
19,default,0.42962963,0.27407407,0.71111111,0.0091083676,0.27,-1,
20,default,,,,,,,
21,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
22,default,,,,,,,
23,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
24,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
25,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
26,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
27,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
28,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
29,default,,,,,,,
30,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
31,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
32,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
33,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
34,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
35,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
36,default,,,,,,,
37,default,,,,,,,
38,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
39,default,,,,,,,
40,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
41,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
42,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
43,default,,,,,,,
44,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
45,default,,,,,,,
46,default,0.43434343,0.25858586,0.6969697,0.0090807061,0.23366667,-1,
47,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
48,default,,,,,,,
49,default,0.43518519,0.26148148,0.75,0.0073010974,0.23366667,-1,
